city,state,pop2024,pop2020,area
New York,NY,8478072,8804190,300.5
Los Angeles,CA,3878704,3898747,469.5
Chicago,IL,2721308,2746388,227.7
Houston,TX,2390125,2304580,640.4
Phoenix,AZ,1673164,1608139,518
Philadelphia,PA,1573916,1603797,134.4
San Antonio,TX,1526656,1434625,498.8
San Diego,CA,1404452,1386932,325.9
Dallas,TX,1326087,1304379,339.6
Jacksonville,FL,1009833,949611,747.3
Fort Worth,TX,1008106,918915,347.3
San Jose,CA,997368,1013240,178.3
Austin,TX,993588,961855,319.9
Charlotte,NC,943476,874579,308.3
Columbus,OH,933263,905748,220
Indianapolis,IN,891484,887642,361.6
San Francisco,CA,827526,873965,46.9
Seattle,WA,780995,737015,83.8
Denver,CO,729019,715522,153.1
Oklahoma City,OK,712919,681054,606.2
Nashville,TN,704963,689447,475.8
Washington,DC,702250,689545,61.1
El Paso,TX,681723,678815,258.4
Las Vegas,NV,678922,641903,141.8
Boston,MA,673458,675647,48.3
Detroit,MI,645705,639111,138.7
Louisville,KY,640796,633045,324.9
Portland,OR,635749,652503,133.5
Memphis,TN,610919,633104,297
Baltimore,MD,568271,585708,80.9
Milwaukee,WI,563531,577222,96.2
Albuquerque,NM,560326,564559,187.3
Tucson,AZ,554013,542629,241
Fresno,CA,550105,542107,115.2
Sacramento,CA,535798,524943,98.6
Atlanta,GA,520070,498715,135.3
Mesa,AZ,517151,504258,138.7
Kansas City,MO,516032,508090,314.7
Raleigh,NC,499825,467665,147.1
Colorado Springs,CO,493554,478961,195.4
Omaha,NE,489265,486051,141.6
Miami,FL,487014,442241,36
Virginia Beach,VA,454808,459470,244.7
Long Beach,CA,450901,466742,50.7
Oakland,CA,443554,440646,55.9
Minneapolis,MN,428579,429954,54
Bakersfield,CA,417468,403455,149.8
Tulsa,OK,415154,413066,197.5
Tampa,FL,414547,384959,114
Arlington,TX,403672,394266,95.9
Aurora,CO,403130,386261,160.1
Wichita,KS,400991,397532,162
Cleveland,OH,365379,372624,77.7
New Orleans,LA,362701,383997,169.5
Henderson,NV,350039,317610,106.2
Honolulu,HI,344967,350964,60.5
Anaheim,CA,344561,346824,50.3
Orlando,FL,334854,307573,110.6
Lexington,KY,329437,322570,283.6
Stockton,CA,324975,320804,62.2
Riverside,CA,323757,314998,81.2
Irvine,CA,318683,307670,65.6
Corpus Christi,TX,317317,317863,162.2
Newark,NJ,317303,311549,24.1
Santa Ana,CA,316184,310227,27.3
Cincinnati,OH,314915,309317,77.8
Pittsburgh,PA,307668,302971,55.4
Saint Paul,MN,307465,311527,52
Greensboro,NC,307381,299035,129.6
Jersey City,NJ,302824,292449,14.7
Durham,NC,301870,283506,112.8
Lincoln,NE,300619,291082,97.7
North Las Vegas,NV,294034,262527,101.3
Plano,TX,293286,285494,71.7
Anchorage,AK,289600,291247,1706.8
Gilbert,AZ,288790,267918,68.6
Madison,WI,285300,269840,79.6
Reno,NV,281714,264165,108.8
Chandler,AZ,281231,275987,65.3
St. Louis,MO,279695,301578,61.7
Chula Vista,CA,278546,275487,49.6
Buffalo,NY,276617,278349,40.4
Fort Wayne,IN,273203,263886,110.7
Lubbock,TX,272086,257141,134.6
St. Petersburg,FL,267102,258308,61.8
Toledo,OH,265638,270871,80.5
Laredo,TX,261260,255205,106.5
Port St. Lucie,FL,258575,204851,119.2
Glendale,AZ,258143,248325,61.6
Irving,TX,258060,256684,67
Winston-Salem,NC,255769,249545,132.7
Chesapeake,VA,254997,249422,338.5
Garland,TX,250431,246018,57.1
Scottsdale,AZ,246170,241361,184
Boise,ID,237963,235684,84
Hialeah,FL,235388,223109,21.6
Frisco,TX,235208,200509,68.6
Richmond,VA,233655,226610,59.9
Cape Coral,FL,233025,194016,106
Norfolk,VA,231105,238005,53.3
Spokane,WA,230609,228989,68.8
Huntsville,AL,230402,215006,218.1
Santa Clarita,CA,229159,228673,70.8
Tacoma,WA,228202,219346,49.7
Fremont,CA,228192,230504,78.3
McKinney,TX,227526,195308,67
San Bernardino,CA,224775,222101,62.1
Baton Rouge,LA,220907,227470,86.3
Modesto,CA,220592,218464,43
Fontana,CA,218455,208393,43.1
Salt Lake City,UT,217783,199723,110.3
Moreno Valley,CA,213919,208634,51.3
Des Moines,IA,213096,214133,88.2
Worcester,MA,211286,206518,37.4
Yonkers,NY,211040,211569,18
Fayetteville,NC,209496,208501,148.3
Sioux Falls,SD,209289,192517,79.1
Grand Prairie,TX,207331,196100,72.6
Rochester,NY,207282,211328,35.8
Tallahassee,FL,205089,196169,100.9
Little Rock,AR,204774,202591,120
Amarillo,TX,203729,200393,102.3
Overland Park,KS,202893,197238,75.2
Columbus,GA,201830,206922,216.5
Augusta,GA,201737,202081,302.3
Mobile,AL,201367,187041,139.5
Oxnard,CA,200616,202063,26.5
Grand Rapids,MI,200117,198917,44.8
Peoria,AZ,199924,190985,176.1
Vancouver,WA,198992,190915,48.7
Knoxville,TN,198722,190740,98.7
Birmingham,AL,196357,200733,147
Montgomery,AL,195818,200603,159.9
Providence,RI,194706,190934,18.4
Huntington Beach,CA,193151,198711,27
Brownsville,TX,191967,186738,131.5
Chattanooga,TN,191496,181099,142.4
Fort Lauderdale,FL,190641,182760,34.6
Tempe,AZ,190114,180587,39.9
Akron,OH,189664,190469,61.9
Glendale,CA,187823,196543,30.5
Clarksville,TN,185690,166722,99.4
Ontario,CA,185285,175265,50
Newport News,VA,183056,186247,69
Elk Grove,CA,182797,176124,42
Cary,NC,182659,174721,59.2
Aurora,IL,180710,180542,45
Salem,OR,180406,175535,48.8
Pembroke Pines,FL,179326,171178,32.7
Eugene,OR,178786,176654,44.2
Santa Rosa,CA,177524,178127,42.5
Rancho Cucamonga,CA,176675,174453,40.1
Shreveport,LA,176578,187593,107.8
Garden Grove,CA,172361,171949,18
Oceanside,CA,170941,174068,41.3
Fort Collins,CO,170924,169810,57.2
Springfield,MO,170596,169176,82.4
Murfreesboro,TN,168387,152769,62.9
Surprise,AZ,167564,143148,110.3
Lancaster,CA,167426,173516,94.3
Denton,TX,165998,139869,96.4
Roseville,CA,163304,147773,44.1
Palmdale,CA,162536,169450,106.1
Corona,CA,161540,157136,39.9
Salinas,CA,160783,163542,23.5
Killeen,TX,160616,153095,54.8
Paterson,NJ,160463,159732,8.4
Alexandria,VA,159102,159467,14.9
Hollywood,FL,159073,153067,27.3
Hayward,CA,158440,162954,45.8
Charleston,SC,157665,150227,114.8
Macon,GA,157056,157346,249.4
Lakewood,CO,156868,155984,43.5
Sunnyvale,CA,156792,155805,22.1
Kansas City,KS,156752,156607,124.7
Springfield,MA,154888,155929,31.9
Bellevue,WA,154377,151854,33.5
Naperville,IL,153124,149540,39.1
Joliet,IL,151837,150362,64.5
Bridgeport,CT,151599,148654,16.1
Mesquite,TX,150140,150108,48.5
Pasadena,TX,149617,151950,43.7
Olathe,KS,149035,141290,61.9
Escondido,CA,148847,151038,37.3
Savannah,GA,148808,147780,106.8
McAllen,TX,148782,142210,62.3
Gainesville,FL,148720,141085,63.2
Pomona,CA,147966,151713,23
Rockford,IL,147486,148655,64.5
Thornton,CO,146689,141867,35.9
Waco,TX,146608,138486,88.7
Visalia,CA,146271,141384,37.9
Syracuse,NY,146097,148620,25.1
Columbia,SC,144788,136632,136.8
Midland,TX,143687,132524,75.5
Miramar,FL,143242,134721,28.9
Palm Bay,FL,142023,119760,86.4
Lakewood,NJ,141985,135158,24.7
Jackson,MS,141449,153701,111.7
Coral Springs,FL,140808,134394,22.9
Victorville,CA,140721,134810,73.7
Elizabeth,NJ,140413,137298,12.3
Fullerton,CA,140054,143617,22.4
Meridian,ID,139740,117635,35.1
Torrance,CA,139576,147067,20.5
Stamford,CT,139134,135470,37.6
West Valley City,UT,138144,140230,35.8
Orange,CA,137941,139911,25.7
Cedar Rapids,IA,137904,137710,72.1
Warren,MI,137686,139387,34.4
Hampton,VA,137596,137148,51.5
New Haven,CT,137562,134023,18.7
Pasadena,CA,137195,138699,23
Kent,WA,136588,136588,33.8
Dayton,OH,136346,137644,55.8
Fargo,ND,136285,125990,49.8
Lewisville,TX,135983,111822,37
Carrollton,TX,135456,133434,36.7
Round Rock,TX,135359,119468,37.6
Sterling Heights,MI,134342,134346,36.4
Santa Clara,CA,133132,127647,18.3
Norman,OK,131010,128026,178.8
Columbia,MO,130900,126254,66.5
Abilene,TX,130501,125182,106.7
Pearland,TX,129620,125828,48.7
Athens,GA,128691,127315,116.3
College Station,TX,128023,120511,51.2
Clovis,CA,127993,120124,25.4
West Palm Beach,FL,127744,117415,53.8
Allentown,PA,127138,125845,17.6
North Charleston,SC,126005,114852,77.6
Simi Valley,CA,125778,126356,41.5
Topeka,KS,125467,126587,61.4
Wilmington,NC,125284,115451,51.4
Lakeland,FL,124990,112641,66.2
Thousand Oaks,CA,124229,126966,55.3
Concord,CA,124016,125410,30.6
Rochester,MN,123624,121395,55.5
Vallejo,CA,123475,126090,30.4
Ann Arbor,MI,122925,123851,28.2
Broken Arrow,OK,122756,113540,63
Fairfield,CA,122646,119881,41.6
Lafayette,LA,122280,121374,55.8
Hartford,CT,122129,121054,17.4
Arvada,CO,121873,124402,38.9
Berkeley,CA,121749,124321,10.4
Independence,MO,121629,123011,78
Billings,MT,121483,117116,44.8
Cambridge,MA,121186,118403,6.4
Lowell,MA,120418,115554,13.6
Odessa,TX,119748,114428,51.1
High Point,NC,118601,114059,56.4
League City,TX,118456,114392,51.3
Antioch,CA,118453,115291,29.2
Richardson,TX,118221,119469,28.6
Goodyear,AZ,118186,95294,191.3
Pompano Beach,FL,118104,112046,24
Nampa,ID,117350,100200,33.5
Menifee,CA,117041,102527,46.5
Las Cruces,NM,116998,111385,76.9
Clearwater,FL,116811,117292,26.1
West Jordan,UT,116688,116961,32.3
New Braunfels,TX,116477,90403,45.2
Manchester,NH,116386,115644,33.1
Miami Gardens,FL,116173,111640,18.2
Waterbury,CT,115908,114403,28.5
Provo,UT,115479,115162,41.7
Evansville,IN,115395,117298,47.4
Richmond,CA,115353,116448,30.1
Westminster,CO,115302,116317,31.6
Elgin,IL,114701,114797,38
Conroe,TX,114581,89956,72
Greeley,CO,114363,108795,48.9
Lansing,MI,114336,112644,39.1
Buckeye,AZ,114334,91502,393
Tuscaloosa,AL,114288,99600,61.9
Allen,TX,113746,104627,26.4
Carlsbad,CA,113575,114746,37.8
Everett,WA,113011,110629,33.2
Springfield,IL,112949,114394,61.1
Beaumont,TX,112893,115282,82.5
Murrieta,CA,112539,110949,33.6
Rio Rancho,NM,112524,104046,103.4
Temecula,CA,112431,110003,37.3
Concord,NC,112395,105240,63.5
Tyler,TX,112219,105995,57.5
Davie,FL,112052,105691,34.9
South Fulton,GA,112003,107436,85.2
Peoria,IL,111696,113150,48
Sparks,NV,111520,108445,36.4
Gresham,OR,111507,114247,23.5
Santa Maria,CA,111346,109707,22.8
Pueblo,CO,111166,111876,55.4
Hillsboro,OR,110337,106447,25.7
Edison,NJ,110002,107588,30.1
Sugar Land,TX,109851,111026,40.5
Ventura,CA,109831,110763,21.9
Downey,CA,109368,114355,12.4
Costa Mesa,CA,109131,111918,15.8
Centennial,CO,108853,108418,29.7
Edinburg,TX,108733,100243,44.7
Spokane Valley,WA,108267,102976,37.7
Jurupa Valley,CA,108154,105053,42.9
Bend,OR,106926,99178,33.6
West Covina,CA,106920,109501,16
Boulder,CO,106803,108250,26.3
Palm Coast,FL,106729,89258,95.4
Lee's Summit,MO,106419,101108,63.9
Dearborn,MI,106377,109976,24.2
Green Bay,WI,106311,107395,45.5
St. George,UT,106288,95342,78.5
Woodbridge,NJ,106101,103639,23.3
Brockton,MA,105788,105643,21.3
Renton,WA,105543,106785,23.5
Sandy Springs,GA,105505,108080,37.7
Rialto,CA,104918,104026,24.1
El Monte,CA,104639,109450,9.6
Vacaville,CA,103994,102386,29.9
Fishers,IN,103986,98977,35.6
South Bend,IN,103713,103453,42
Carmel,IN,103606,99757,49.1
Yuma,AZ,103559,95548,120.7
Burbank,CA,103533,107337,17.3
Lynn,MA,103489,101253,10.7
Quincy,MA,103434,101636,16.6
El Cajon,CA,103291,106215,14.5
Fayetteville,AR,103134,93949,54.1
Suffolk,VA,103105,94324,399.2
San Mateo,CA,103006,105661,12.1
Chico,CA,102911,101475,34.1
Inglewood,CA,102774,107762,9.1
Wichita Falls,TX,102372,102316,72
Boca Raton,FL,102238,97422,29.2
Hesperia,CA,101836,99818,72.7
Daly City,CA,101418,104901,7.6
Clinton,MI,101359,100513,28
Georgetown,TX,101344,67176,57.3
New Bedford,MA,101318,101079,20
Albany,NY,101317,99224,21.4
Davenport,IA,100938,101724,63.8
Plantation,FL,100694,91750,21.8
Deltona,FL,100513,93692,37.3
Federal Way,WA,100252,101030,22.3
San Angelo,TX,100159,99893,59.7
Tracy,CA,100136,93000,25.9
Sunrise,FL,100128,97335,16.2
